players,endpoint,latency
0,GAME_LIST,333
0,JOIN,192
0,STATE_GET,173
0,PLAY,212
0,PLAY,173
0,PLAY,172
0,PLAY,174
0,PUSH_MESSAGE,1572768429809
0,PUSH_MESSAGE,1572768429812
0,PUSH_MESSAGE,1572768429813
0,PLAY,189
0,PUSH_MESSAGE,1572768429891
0,PLAY,182
0,PUSH_MESSAGE,1572768430072
0,PLAY,170
0,PLAY,175
0,PUSH_MESSAGE,1572768430429
0,PLAY,174
0,PUSH_MESSAGE,1572768430603
0,PLAY,182
0,PUSH_MESSAGE,1572768430784
0,PLAY,183
0,PUSH_MESSAGE,1572768430966
0,PLAY,183
0,PUSH_MESSAGE,1572768431139
0,PUSH_MESSAGE,1572768431148
0,PLAY,192
0,PUSH_MESSAGE,1572768431323
0,PUSH_MESSAGE,1572768431332
0,PLAY,190
0,PUSH_MESSAGE,1572768431560
0,PLAY,171
0,PUSH_MESSAGE,1572768431748
0,PLAY,170
0,PLAY,180
0,PUSH_MESSAGE,1572768432050
0,PLAY,175
0,PUSH_MESSAGE,1572768432276
0,PLAY,188
0,PUSH_MESSAGE,1572768432407
0,PUSH_MESSAGE,1572768432415
0,PLAY,184
0,PUSH_MESSAGE,1572768432594
0,PUSH_MESSAGE,1572768432603
0,PLAY,190
0,PUSH_MESSAGE,1572768432778
0,PUSH_MESSAGE,1572768432792
0,PLAY,190
0,PUSH_MESSAGE,1572768432990
0,PUSH_MESSAGE,1572768432991
0,PLAY,169
0,PUSH_MESSAGE,1572768433221
0,PLAY,168
0,PLAY,182
0,PUSH_MESSAGE,1572768433536
0,PLAY,169
0,PLAY,174
0,PUSH_MESSAGE,1572768433868
0,PLAY,172
0,PUSH_MESSAGE,1572768434027
0,PLAY,182
0,PUSH_MESSAGE,1572768434274
0,PLAY,186
0,PUSH_MESSAGE,1572768434383
0,PUSH_MESSAGE,1572768434394
0,PLAY,183
